player,team,date_of_birth,age,handed,center,left_wing,right_wing,defense,player_id
ALEX.KILLORN,TBL,"(14, 9, 1989)",29.0,0,0,1,0,0,180
CHRIS.KREIDER,NYR,"(30, 4, 1991)",28.0,0,0,1,0,0,182
BRAYDEN.SCHENN,STL,"(22, 8, 1991)",27.0,0,1,1,0,0,183
DANNY.DEKEYSER,DET,"(7, 3, 1990)",29.0,0,0,0,0,1,184
MIKE.HOFFMAN,FLA,"(24, 11, 1989)",29.0,0,0,1,1,0,185
CALLE.JARNKROK,NSH,"(25, 9, 1991)",27.0,1,1,1,0,0,187
CONNOR.MURPHY,CHI,"(26, 3, 1993)",26.0,1,0,0,0,1,188
TYSON.BARRIE,COL,"(26, 7, 1991)",27.0,1,0,0,0,1,189
SEAN.MONAHAN,CGY,"(12, 10, 1994)",24.0,0,1,0,0,0,193
JONATHAN.HUBERDEAU,FLA,"(4, 6, 1993)",26.0,0,1,1,0,0,196
ALEXANDER.STEEN,STL,"(1, 3, 1984)",35.0,0,1,1,1,0,200
BRAD.MARCHAND,BOS,"(11, 5, 1988)",31.0,0,0,1,0,0,202
JOHNNY.GAUDREAU,CGY,"(13, 8, 1993)",25.0,0,0,1,0,0,211
RASMUS.RISTOLAINEN,BUF,"(27, 10, 1994)",24.0,1,0,0,0,1,212
RICKARD.RAKELL,ANA,"(5, 5, 1993)",26.0,1,1,1,1,0,215
HAMPUS.LINDHOLM,ANA,"(20, 1, 1994)",25.0,0,0,0,0,1,218
BRENT.BURNS,SJS,"(9, 3, 1985)",34.0,1,0,0,0,1,222
CAL.CLUTTERBUCK,NYI,"(18, 11, 1987)",31.0,1,0,0,1,0,224
ZACK.SMITH,OTT,"(5, 4, 1988)",31.0,0,1,1,0,0,232
VLADIMIR.SOBOTKA,BUF,"(2, 7, 1987)",31.0,0,1,1,0,0,263
NIKITA.ZAITSEV,TOR,"(29, 10, 1991)",27.0,1,0,0,0,1,284
TANNER.PEARSON,VAN,"(10, 8, 1992)",26.0,0,0,1,0,0,288
MELKER.KARLSSON,SJS,"(18, 7, 1990)",28.0,1,1,0,1,0,290
TYLER.TOFFOLI,LAK,"(24, 4, 1992)",27.0,1,0,1,1,0,301
SHAYNE.GOSTISBEHERE,PHI,"(20, 4, 1993)",26.0,0,0,0,0,1,302
JONATHAN.DROUIN,MTL,"(28, 3, 1995)",24.0,0,1,1,1,0,303
ERIK.HAULA,VGK,"(23, 3, 1991)",28.0,0,1,1,0,0,304
PATRICK.EAVES,ANA,"(1, 5, 1984)",35.0,1,0,1,1,0,305
KRIS.RUSSELL,EDM,"(2, 5, 1987)",32.0,0,0,0,0,1,306
T.J..OSHIE,WSH,"(23, 12, 1986)",32.0,1,0,0,1,0,307
ZACK.KASSIAN,EDM,"(24, 1, 1991)",28.0,1,0,0,1,0,308
BRENDAN.SMITH,NYR,"(8, 2, 1989)",30.0,0,0,1,0,1,309
MICHAEL.STONE,CGY,"(7, 6, 1990)",29.0,1,0,0,0,1,312
DMITRY.ORLOV,WSH,"(23, 7, 1991)",27.0,0,0,0,0,1,314
MATT.HUNWICK,BUF,"(21, 5, 1985)",34.0,0,0,0,0,1,315
TREVOR.DALEY,DET,"(9, 10, 1983)",35.0,0,0,0,0,1,316
SAM.GAGNER,EDM,"(10, 8, 1989)",29.0,1,1,0,1,0,317
DMITRY.KULIKOV,WPG,"(29, 10, 1990)",28.0,0,0,0,0,1,318
TYLER.PITLICK,DAL,"(1, 11, 1991)",27.0,1,0,0,1,0,319
MARTIN.HANZAL,DAL,"(20, 2, 1987)",32.0,0,1,0,0,0,320
JUSTIN.SCHULTZ,PIT,"(6, 7, 1990)",28.0,1,0,0,0,1,323
NICK.BONINO,NSH,"(20, 4, 1988)",31.0,0,1,0,0,0,324
KEVIN.SHATTENKIRK,NYR,"(29, 1, 1989)",30.0,1,0,0,0,1,325
KARL.ALZNER,MTL,"(24, 9, 1988)",30.0,0,0,0,0,1,326
MARC-EDOUARD.VLASIC,SJS,"(30, 3, 1987)",32.0,0,0,0,0,1,327
CAM.FOWLER,ANA,"(5, 12, 1991)",27.0,0,0,0,0,1,328
PATRICK.MARLEAU,CAR,"(15, 9, 1979)",39.0,0,1,1,0,0,330
EVGENY.KUZNETSOV,WSH,"(19, 5, 1992)",27.0,0,1,0,0,0,331
ALEXANDER.RADULOV,DAL,"(5, 7, 1986)",32.0,0,0,0,1,0,332
JESPER.FAST,NYR,"(2, 12, 1991)",27.0,1,0,0,1,0,333
ALEX.GALCHENYUK,ARI,"(12, 2, 1994)",25.0,0,1,1,1,0,335
ZACH.HYMAN,TOR,"(9, 6, 1992)",27.0,1,0,1,0,0,336
CONNOR.MCDAVID,EDM,"(13, 1, 1997)",22.0,0,1,0,0,0,338
MARK.PYSYK,FLA,"(11, 1, 1992)",27.0,1,0,0,0,1,339
RADEK.FAKSA,DAL,"(9, 1, 1994)",25.0,0,1,0,0,0,342
TYLER.JOHNSON,TBL,"(29, 7, 1990)",28.0,1,1,1,1,0,343
JACCOB.SLAVIN,CAR,"(1, 5, 1994)",25.0,0,0,0,0,1,345
ONDREJ.PALAT,TBL,"(28, 3, 1991)",28.0,0,0,1,1,0,350
JEAN-GABRIEL.PAGEAU,OTT,"(11, 11, 1992)",26.0,1,1,0,0,0,357
FREDERICK.GAUDREAU,NSH,"(1, 5, 1993)",26.0,1,1,0,0,0,358
COLTON.PARAYKO,STL,"(12, 5, 1993)",26.0,1,0,0,0,1,360
TOMAS.TATAR,MTL,"(1, 12, 1990)",28.0,0,0,1,1,0,361
VIKTOR.ARVIDSSON,NSH,"(8, 4, 1993)",26.0,1,0,1,1,0,363
AUSTIN.WATSON,NSH,"(13, 1, 1992)",27.0,1,0,1,1,0,364
ADAM.PELECH,NYI,"(16, 8, 1994)",24.0,0,0,0,0,1,365
BRIAN.DUMOULIN,PIT,"(6, 9, 1991)",27.0,0,0,0,0,1,366
MIKA.ZIBANEJAD,NYR,"(18, 4, 1993)",26.0,1,1,0,0,0,367
RYAN.JOHANSEN,NSH,"(31, 7, 1992)",26.0,1,1,0,1,0,368
CONOR.SHEARY,BUF,"(8, 6, 1992)",27.0,0,0,1,1,0,369
NINO.NIEDERREITER,CAR,"(8, 9, 1992)",26.0,0,0,1,1,0,370
MIKAEL.GRANLUND,NSH,"(26, 2, 1992)",27.0,0,1,0,1,0,371
BRETT.PESCE,CAR,"(15, 11, 1994)",24.0,1,0,0,0,1,372
LEON.DRAISAITL,EDM,"(27, 10, 1995)",23.0,0,1,1,1,0,377
CONNOR.BROWN,TOR,"(14, 1, 1994)",25.0,1,0,1,1,0,378
ALEXANDER.WENNBERG,CBJ,"(22, 9, 1994)",24.0,0,1,0,0,0,379
BO.HORVAT,VAN,"(5, 4, 1995)",24.0,0,1,0,0,0,382
DAMON.SEVERSON,NJD,"(7, 8, 1994)",24.0,1,0,0,0,1,383
MARCUS.FOLIGNO,MIN,"(10, 8, 1991)",27.0,0,0,1,1,0,384
DAVID.PASTRNAK,BOS,"(25, 5, 1996)",23.0,1,0,0,1,0,385
BRYAN.LITTLE,WPG,"(12, 11, 1987)",31.0,1,1,0,1,0,386
MIKKO.KOIVU,MIN,"(12, 3, 1983)",36.0,0,1,0,0,0,388
JOSH.ANDERSON,CBJ,"(7, 5, 1994)",25.0,1,0,0,1,0,401
JACK.EICHEL,BUF,"(28, 10, 1996)",22.0,1,1,0,0,0,406
JOSH.MANSON,ANA,"(7, 10, 1991)",27.0,1,0,0,0,1,407
NIKOLAJ.EHLERS,WPG,"(14, 2, 1996)",23.0,0,0,1,1,0,408
MARK.BOROWIECKI,OTT,"(12, 7, 1989)",29.0,0,0,0,0,1,409
DEREK.FORBORT,LAK,"(4, 3, 1992)",27.0,0,0,0,0,1,412
KYLE.TURRIS,NSH,"(14, 8, 1989)",29.0,1,1,0,0,0,415
CAM.ATKINSON,CBJ,"(5, 6, 1989)",30.0,1,0,1,1,0,418
BRAYDEN.MCNABB,VGK,"(21, 1, 1991)",28.0,0,0,0,0,1,420
JONATHAN.MARCHESSAULT,VGK,"(27, 12, 1990)",28.0,1,0,1,1,0,428
SCOTT.MAYFIELD,NYI,"(14, 10, 1992)",26.0,1,0,0,0,1,429
YANNICK.WEBER,NSH,"(23, 9, 1988)",30.0,1,0,0,0,1,430
MATT.IRWIN,NSH,"(29, 11, 1987)",31.0,0,0,0,0,1,431
ANDREW.COGLIANO,DAL,"(14, 6, 1987)",32.0,0,1,1,1,0,432
JON.MERRILL,VGK,"(3, 2, 1992)",27.0,0,0,0,0,1,433
BEN.HARPUR,OTT,"(12, 1, 1995)",24.0,0,0,0,0,1,434
LARS.ELLER,WSH,"(8, 5, 1989)",30.0,0,1,0,0,0,435
COLTON.SCEVIOUR,FLA,"(20, 4, 1989)",30.0,1,0,0,1,0,436
MIKAEL.BACKLUND,CGY,"(17, 3, 1989)",30.0,0,1,0,0,0,437
NICOLAS.DESLAURIERS,MTL,"(22, 2, 1991)",28.0,0,0,1,1,0,438
ERIK.GUDBRANSON,PIT,"(7, 1, 1992)",27.0,1,0,0,0,1,439
JOSH.BAILEY,NYI,"(2, 10, 1989)",29.0,0,0,1,1,0,440
PATRIC.HORNQVIST,PIT,"(1, 1, 1987)",32.0,1,0,0,1,0,441
ALEX.BIEGA,VAN,"(4, 4, 1988)",31.0,1,0,0,0,1,442
ERIK.GUSTAFSSON,CHI,"(14, 3, 1992)",27.0,0,0,0,0,1,452
ASHTON.SAUTNER,VAN,"(27, 5, 1994)",25.0,0,0,0,0,1,458
DEAN.KUKAN,CBJ,"(8, 7, 1993)",25.0,0,0,0,0,1,465
NATHAN.GERBE,CBJ,"(24, 7, 1987)",31.0,0,0,1,1,0,466
MARKUS.NUTIVAARA,CBJ,"(6, 6, 1994)",25.0,0,0,0,0,1,492
RADIM.SIMEK,SJS,"(20, 9, 1992)",26.0,0,0,0,0,1,515
CASEY.NELSON,BUF,"(18, 7, 1992)",26.0,1,0,0,0,1,520
BRIAN.STRAIT,NJD,"(4, 1, 1988)",31.0,0,0,0,0,1,529
MARK.ALT,COL,"(18, 10, 1991)",27.0,1,0,0,0,1,533
MARK.BARBERIO,COL,"(23, 3, 1990)",29.0,0,0,0,0,1,534
EVANDER.KANE,SJS,"(2, 8, 1991)",27.0,0,0,1,0,0,545
JOSHUA.BROWN,FLA,"(21, 1, 1994)",25.0,1,0,0,0,1,551
DRAKE.CAGGIULA,CHI,"(20, 6, 1994)",25.0,0,1,1,1,0,560
JOHN.HAYDEN,NJD,"(14, 2, 1995)",24.0,1,1,0,1,0,561
VINNIE.HINOSTROZA,ARI,"(3, 4, 1994)",25.0,1,1,0,1,0,562
MATT.GRZELCYK,BOS,"(5, 1, 1994)",25.0,0,0,0,0,1,563
MAX.DOMI,MTL,"(2, 3, 1995)",24.0,0,1,1,0,0,565
MATTHEW.BENNING,EDM,"(25, 5, 1994)",25.0,1,0,0,0,1,566
STEPHEN.JOHNS,DAL,"(18, 4, 1992)",27.0,1,0,0,0,1,567
SAMUEL.MORIN,PHI,"(12, 7, 1995)",23.0,0,0,0,0,1,568
TYLER.BERTUZZI,DET,"(24, 2, 1995)",24.0,0,0,1,1,0,569
DOMINIK.SIMON,PIT,"(8, 8, 1994)",24.0,0,0,1,1,0,570
DANIEL.SPRONG,ANA,"(17, 3, 1997)",22.0,1,0,0,1,0,571
JOHN.CARLSON,WSH,"(10, 1, 1990)",29.0,1,0,0,0,1,572
BRYAN.RUST,PIT,"(11, 5, 1992)",27.0,1,0,1,1,0,574
J.T..MILLER,VAN,"(14, 3, 1993)",26.0,0,1,1,1,0,575
KEVIN.CONNAUTON,ARI,"(23, 2, 1990)",29.0,0,0,0,0,1,576
KYLE.RAU,MIN,"(24, 10, 1992)",26.0,0,1,1,0,0,577
VALENTIN.ZYKOV,VGK,"(15, 5, 1995)",24.0,1,0,1,0,0,578
SETH.HELGESON,NYI,"(8, 10, 1990)",28.0,0,0,0,0,1,579
MICHAL.KEMPNY,WSH,"(8, 9, 1990)",28.0,0,0,0,0,1,580
MIKE.GREEN,DET,"(12, 10, 1985)",33.0,1,0,0,0,1,581
RYAN.REAVES,VGK,"(20, 1, 1987)",32.0,1,0,0,1,0,582
AUSTIN.CZARNIK,CGY,"(12, 12, 1992)",26.0,1,0,1,1,0,583
JOAKIM.NORDSTROM,BOS,"(25, 2, 1992)",27.0,0,0,1,0,0,584
MATTHEW.PECA,MTL,"(27, 4, 1993)",26.0,0,1,1,0,0,585
J.T..BROWN,MIN,"(2, 7, 1990)",28.0,1,0,0,1,0,586
VALERI.NICHUSHKIN,DAL,"(4, 3, 1995)",24.0,0,0,1,1,0,587
BRANDON.MANNING,EDM,"(4, 6, 1990)",29.0,0,0,0,0,1,588
KYLE.BRODZIAK,EDM,"(25, 5, 1984)",35.0,1,1,0,0,0,589
TRAVIS.BOYD,WSH,"(14, 9, 1993)",25.0,1,1,0,1,0,590
MICHAEL.CHAPUT,ARI,"(9, 4, 1992)",27.0,0,1,0,0,0,591
SCOTT.WILSON,BUF,"(24, 4, 1992)",27.0,0,0,1,0,0,593
VLADISLAV.NAMESTNIKOV,NYR,"(22, 11, 1992)",26.0,0,1,1,1,0,594
TIM.SCHALLER,VAN,"(16, 11, 1990)",28.0,0,1,1,0,0,595
NICK.HOLDEN,VGK,"(15, 5, 1987)",32.0,0,0,0,0,1,596
CHRIS.TERRY,DET,"(7, 4, 1989)",30.0,0,0,1,1,0,599
MICHAEL.MERSCH,DAL,"(2, 10, 1992)",26.0,0,0,1,0,0,600
CURTIS.MCKENZIE,VGK,"(22, 2, 1991)",28.0,0,0,1,0,0,601
CHRIS.WAGNER,BOS,"(27, 5, 1991)",28.0,1,1,0,1,0,602
JARED.MCCANN,PIT,"(31, 5, 1996)",23.0,0,1,1,0,0,603
ILYA.KOVALCHUK,LAK,"(15, 4, 1983)",36.0,1,0,1,1,0,607
NIKLAS.HJALMARSSON,ARI,"(6, 6, 1987)",32.0,0,0,0,0,1,609
DEREK.RYAN,CGY,"(29, 12, 1986)",32.0,1,1,0,0,0,610
GREG.PATERYN,MIN,"(20, 6, 1990)",29.0,1,0,0,0,1,611
PAUL.STASTNY,VGK,"(27, 12, 1985)",33.0,0,1,0,0,0,612
TYLER.BOZAK,STL,"(19, 3, 1986)",33.0,1,1,0,0,0,613
NICK.SEELER,MIN,"(3, 6, 1993)",26.0,0,0,0,0,1,614
IAN.COLE,COL,"(21, 2, 1989)",30.0,0,0,0,0,1,615
BLAKE.COMEAU,DAL,"(18, 2, 1986)",33.0,1,0,1,1,0,616
MICHAEL.GRABNER,ARI,"(5, 10, 1987)",31.0,0,0,1,1,0,617
MATT.CALVERT,COL,"(24, 12, 1989)",29.0,0,0,1,1,0,619
RILEY.NASH,CBJ,"(9, 5, 1989)",30.0,1,1,0,1,0,620
SVEN.BAERTSCHI,VAN,"(5, 10, 1992)",26.0,0,0,1,0,0,621
JAY.BEAGLE,VAN,"(16, 10, 1985)",33.0,1,1,0,0,0,622
ANTOINE.ROUSSEL,VAN,"(21, 11, 1989)",29.0,0,0,1,0,0,623
DAVID.PERRON,STL,"(28, 5, 1988)",31.0,1,0,1,1,0,624
THOMAS.HICKEY,NYI,"(8, 2, 1989)",30.0,0,0,0,0,1,626
LEO.KOMAROV,NYI,"(23, 1, 1987)",32.0,0,1,1,1,0,628
JAMES.VAN.RIEMSDYK,PHI,"(5, 5, 1989)",30.0,0,0,1,0,0,630
JACK.JOHNSON,PIT,"(13, 1, 1987)",32.0,0,0,0,0,1,631
JOHN.MOORE,BOS,"(19, 11, 1990)",28.0,0,0,0,0,1,632
JOHN.TAVARES,TOR,"(20, 9, 1990)",28.0,0,1,0,0,0,633
RYAN.MCDONAGH,TBL,"(13, 6, 1989)",30.0,0,0,0,0,1,634
OLIVER.EKMAN-LARSSON,ARI,"(17, 7, 1991)",27.0,0,0,0,0,1,635
LOGAN.COUTURE,SJS,"(28, 3, 1989)",30.0,0,1,1,0,0,636
DREW.DOUGHTY,LAK,"(8, 12, 1989)",29.0,1,0,0,0,1,637
PAUL.THOMPSON,FLA,"(30, 11, 1988)",30.0,1,0,0,1,0,639
CARTER.ROWNEY,ANA,"(10, 5, 1989)",30.0,1,1,0,1,0,642
TOMAS.HERTL,SJS,"(12, 11, 1993)",25.0,0,1,0,1,0,644
JAMES.NEAL,CGY,"(3, 9, 1987)",31.0,0,0,1,1,0,645
COLIN.BLACKWELL,NSH,"(28, 3, 1993)",26.0,1,1,0,0,0,646
