name,signing_date,signing_age,signing_status,contract_type,length,cap_hit_pct,player_id
JARED.SPURGEON,"(21, 12, 2015)",26,0,STANDARD CONTRACT,4,0.0727,114
ANZE.KOPITAR,"(11, 10, 2008)",21,0,STANDARD CONTRACT,7,0.1199,116
ANZE.KOPITAR,"(16, 1, 2016)",28,1,STANDARD CONTRACT,8,0.1401,116
ALEKSANDER.BARKOV,"(25, 1, 2016)",20,0,STANDARD CONTRACT,6,0.0808,117
DUSTIN.BYFUGLIEN,"(31, 5, 2008)",23,0,STANDARD CONTRACT,3,0.0529,118
DUSTIN.BYFUGLIEN,"(11, 2, 2011)",25,0,STANDARD CONTRACT,5,0.0809,118
DUSTIN.BYFUGLIEN,"(8, 2, 2016)",30,1,STANDARD CONTRACT,5,0.1041,118
OLLI.MAATTA,"(26, 2, 2016)",21,0,STANDARD CONTRACT,6,0.0572,119
MORGAN.RIELLY,"(13, 4, 2016)",22,0,STANDARD CONTRACT,6,0.07,125
NAZEM.KADRI,"(10, 9, 2013)",22,0,STANDARD CONTRACT,2,0.0451,126
NAZEM.KADRI,"(5, 7, 2015)",24,0,STANDARD CONTRACT,1,0.0562,126
NAZEM.KADRI,"(13, 4, 2016)",25,0,STANDARD CONTRACT,6,0.063,126
KEVAN.MILLER,"(18, 7, 2013)",25,0,STANDARD CONTRACT,1,0.0086,132
KEVAN.MILLER,"(22, 1, 2014)",26,0,STANDARD CONTRACT,2,0.0124,132
KEVAN.MILLER,"(24, 5, 2016)",28,1,STANDARD CONTRACT,4,0.035,132
CASEY.CIZIKAS,"(15, 7, 2014)",23,0,STANDARD CONTRACT,2,0.0145,133
CASEY.CIZIKAS,"(2, 6, 2016)",25,0,STANDARD CONTRACT,5,0.0459,133
SAMI.VATANEN,"(22, 7, 2014)",23,0,STANDARD CONTRACT,2,0.0183,135
SAMI.VATANEN,"(18, 6, 2016)",25,0,STANDARD CONTRACT,4,0.0683,135
